Epoch: 101, Train Acc: 55.656250, Val Acc: 54.760000
Epoch: 102, Train Acc: 55.678454, Val Acc: 54.766667
Epoch: 103, Train Acc: 55.675164, Val Acc: 54.733333
Epoch: 104, Train Acc: 55.701480, Val Acc: 54.773333
Epoch: 105, Train Acc: 55.703947, Val Acc: 54.746667
Epoch: 106, Train Acc: 55.733553, Val Acc: 54.786667
Epoch: 107, Train Acc: 55.726151, Val Acc: 54.793333
Epoch: 108, Train Acc: 55.768092, Val Acc: 54.806667
Epoch: 109, Train Acc: 55.730263, Val Acc: 54.773333
Epoch: 110, Train Acc: 55.730263, Val Acc: 54.773333
Epoch: 111, Train Acc: 55.783717, Val Acc: 54.793333
Epoch: 112, Train Acc: 55.781250, Val Acc: 54.780000
Epoch: 113, Train Acc: 55.774671, Val Acc: 54.760000
Epoch: 114, Train Acc: 55.799342, Val Acc: 54.786667
Epoch: 115, Train Acc: 55.769737, Val Acc: 54.726667
Epoch: 116, Train Acc: 55.830592, Val Acc: 54.746667
Epoch: 117, Train Acc: 55.840461, Val Acc: 54.766667
Epoch: 118, Train Acc: 55.848684, Val Acc: 54.766667
Epoch: 119, Train Acc: 55.851974, Val Acc: 54.760000
Epoch: 120, Train Acc: 55.836349, Val Acc: 54.740000
Epoch: 121, Train Acc: 55.863487, Val Acc: 54.773333
Epoch: 122, Train Acc: 55.877467, Val Acc: 54.773333
Epoch: 123, Train Acc: 55.878289, Val Acc: 54.773333
Epoch: 124, Train Acc: 55.883224, Val Acc: 54.766667
Epoch: 125, Train Acc: 55.890625, Val Acc: 54.780000
Epoch: 126, Train Acc: 55.904605, Val Acc: 54.820000
Epoch: 127, Train Acc: 55.907895, Val Acc: 54.793333
Epoch: 128, Train Acc: 55.912007, Val Acc: 54.806667
Epoch: 129, Train Acc: 55.945724, Val Acc: 54.806667
Epoch: 130, Train Acc: 55.930099, Val Acc: 54.786667
Epoch: 131, Train Acc: 55.948191, Val Acc: 54.786667
Epoch: 132, Train Acc: 55.957237, Val Acc: 54.806667
Epoch: 133, Train Acc: 55.942434, Val Acc: 54.813333
Epoch: 134, Train Acc: 55.969572, Val Acc: 54.840000
Epoch: 135, Train Acc: 55.962993, Val Acc: 54.840000
Epoch: 136, Train Acc: 55.981086, Val Acc: 54.833333
Epoch: 137, Train Acc: 55.988487, Val Acc: 54.833333
Epoch: 138, Train Acc: 55.997533, Val Acc: 54.840000
Epoch: 139, Train Acc: 56.002467, Val Acc: 54.840000
Epoch: 140, Train Acc: 55.993421, Val Acc: 54.833333
Epoch: 141, Train Acc: 55.990954, Val Acc: 54.866667
Epoch: 142, Train Acc: 56.009046, Val Acc: 54.866667
Epoch: 143, Train Acc: 56.008224, Val Acc: 54.893333
Epoch: 144, Train Acc: 56.043586, Val Acc: 54.880000
Epoch: 145, Train Acc: 56.016447, Val Acc: 54.900000
Epoch: 146, Train Acc: 56.049342, Val Acc: 54.906667
Epoch: 147, Train Acc: 56.036184, Val Acc: 54.920000
Epoch: 148, Train Acc: 56.028783, Val Acc: 54.913333
Epoch: 149, Train Acc: 56.052632, Val Acc: 54.893333
Epoch: 150, Train Acc: 56.019737, Val Acc: 54.900000
Epoch: 151, Train Acc: 56.051809, Val Acc: 54.900000
Epoch: 152, Train Acc: 56.041941, Val Acc: 54.886667
Epoch: 153, Train Acc: 56.017270, Val Acc: 54.893333
Epoch: 154, Train Acc: 56.064967, Val Acc: 54.906667
Epoch: 155, Train Acc: 56.084704, Val Acc: 54.933333
Epoch: 156, Train Acc: 56.055921, Val Acc: 54.946667
Epoch: 157, Train Acc: 56.098684, Val Acc: 54.953333
Epoch: 158, Train Acc: 56.049342, Val Acc: 54.933333
Epoch: 159, Train Acc: 56.087993, Val Acc: 54.946667
Epoch: 160, Train Acc: 56.078125, Val Acc: 54.913333
Epoch: 161, Train Acc: 56.103618, Val Acc: 54.953333
Epoch: 162, Train Acc: 56.092928, Val Acc: 54.926667
Epoch: 163, Train Acc: 56.098684, Val Acc: 54.933333
Epoch: 164, Train Acc: 56.100329, Val Acc: 54.913333
Epoch: 165, Train Acc: 56.115132, Val Acc: 54.933333
Epoch: 166, Train Acc: 56.124178, Val Acc: 54.946667
Epoch: 167, Train Acc: 56.120066, Val Acc: 54.953333
Epoch: 168, Train Acc: 56.106086, Val Acc: 54.926667
Epoch: 169, Train Acc: 56.125000, Val Acc: 54.906667
Epoch: 170, Train Acc: 56.137336, Val Acc: 54.920000
Epoch: 171, Train Acc: 56.143092, Val Acc: 54.960000
Epoch: 172, Train Acc: 56.137336, Val Acc: 54.953333
Epoch: 173, Train Acc: 56.138158, Val Acc: 54.906667
Epoch: 174, Train Acc: 56.146382, Val Acc: 54.933333
Epoch: 175, Train Acc: 56.164474, Val Acc: 54.953333
Epoch: 176, Train Acc: 56.154605, Val Acc: 54.946667
Epoch: 177, Train Acc: 56.166941, Val Acc: 54.953333
