'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.6
'weighted': P: 0.8384037759455957 , R: 0.8706363549890611 , F1: 0.8436113706744887 , conf: 0.6
'0': P: 0.7549210469392169 , R: 0.9463123644251626 , F1: 0.839850800144387 , conf: 0.65
'1': P: 0.49645390070921985 , R: 0.15102481121898598 , F1: 0.23159636062861869 , conf: 0.65
'2': P: 0.9753879079721777 , R: 0.9696808510638298 , F1: 0.9725260069351828 , conf: 0.65
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.65
'weighted': P: 0.8318795194551851 , R: 0.8654998573195092 , F1: 0.8367836256396518 , conf: 0.65
'0': P: 0.7485068259385665 , R: 0.9514642082429501 , F1: 0.8378701050620821 , conf: 0.7
'1': P: 0.5037593984962406 , R: 0.14455231930960086 , F1: 0.22464375523889354 , conf: 0.7
'2': P: 0.9787693414897445 , R: 0.9645390070921985 , F1: 0.9716020717985354 , conf: 0.7
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.7
'weighted': P: 0.832087626982746 , R: 0.8639779320840864 , F1: 0.8349800621629557 , conf: 0.7
'0': P: 0.7409523809523809 , R: 0.949295010845987 , F1: 0.8322833709734934 , conf: 0.75
'1': P: 0.4646840148698885 , R: 0.1348435814455232 , F1: 0.20903010033444816 , conf: 0.75
'2': P: 0.9802464661109097 , R: 0.9590425531914893 , F1: 0.9695285893529306 , conf: 0.75
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.75
'weighted': P: 0.8267844127843906 , R: 0.859412156377818 , F1: 0.8305310776287269 , conf: 0.75
'0': P: 0.73511466442247 , R: 0.9473969631236443 , F1: 0.827863997156735 , conf: 0.8
'1': P: 0.4552238805970149 , R: 0.13160733549083065 , F1: 0.20418410041841004 , conf: 0.8
'2': P: 0.9792425345957757 , R: 0.9535460992907802 , F1: 0.9662234998203377 , conf: 0.8
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.8
'weighted': P: 0.8233637700773971 , R: 0.855512222962047 , F1: 0.8267803311698476 , conf: 0.8
'0': P: 0.7274432173369452 , R: 0.946583514099783 , F1: 0.8226699658300931 , conf: 0.85
'1': P: 0.4559386973180077 , R: 0.12837108953613807 , F1: 0.20033670033670034 , conf: 0.85
'2': P: 0.977993764900055 , R: 0.9455673758865248 , F1: 0.9615072568286307 , conf: 0.85
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.85
'weighted': P: 0.8200656893359419 , R: 0.8506610862741368 , F1: 0.822088831323788 , conf: 0.85
'0': P: 0.7204879057266901 , R: 0.9449566160520607 , F1: 0.8175953079178886 , conf: 0.9
'1': P: 0.4166666666666667 , R: 0.11326860841423948 , F1: 0.178117048346056 , conf: 0.9
'2': P: 0.9765855457227138 , R: 0.9391843971631205 , F1: 0.9575198843094722 , conf: 0.9
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.9
'weighted': P: 0.8134073883949527 , R: 0.8453343479501569 , F1: 0.8162102298985436 , conf: 0.9
'0': P: 0.7104349601797019 , R: 0.9433297180043384 , F1: 0.8104834012813046 , conf: 0.95
'1': P: 0.403921568627451 , R: 0.1111111111111111 , F1: 0.17428087986463622 , conf: 0.95
'2': P: 0.9753777280358142 , R: 0.9271276595744681 , F1: 0.9506408508317425 , conf: 0.95
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.95
'weighted': P: 0.8081089901438582 , R: 0.8381052030818986 , F1: 0.8096866316228476 , conf: 0.95
'0': P: 0.6924611088950937 , R: 0.9414316702819957 , F1: 0.7979774764421972 , conf: 1.0
'1': P: 0.41312741312741313 , R: 0.11542610571736785 , F1: 0.18043844856661045 , conf: 1.0
'2': P: 0.9734732824427481 , R: 0.9044326241134751 , F1: 0.9376838235294118 , conf: 1.0
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 1.0
'weighted': P: 0.8015937405641889 , R: 0.8256444402168743 , F1: 0.7988912907491633 , conf: 1.0
