                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.98062,                0.44889,                  1.155,                0.90181,                0.88236,                  0.947,                0.65096,                  1.173,                0.50635,                 1.4285,             0.00036797,             0.00036797,             0.00036797
                    152,                0.97581,                0.44533,                 1.1515,                0.90914,                0.87797,                0.94569,                 0.6518,                 1.1649,                0.50653,                 1.4285,             0.00036089,             0.00036089,             0.00036089
                    153,                0.98036,                 0.4454,                 1.1557,                0.91059,                0.88107,                0.94987,                0.65438,                 1.1643,                0.50072,                 1.4235,             0.00035382,             0.00035382,             0.00035382
                    154,                0.97587,                0.44469,                 1.1556,                0.91113,                0.87703,                0.94905,                0.65365,                 1.1671,                0.49872,                 1.4239,             0.00034675,             0.00034675,             0.00034675
                    155,                0.97415,                0.44409,                  1.157,                0.90205,                0.88379,                0.94811,                0.65249,                 1.1651,                0.50398,                 1.4219,             0.00033967,             0.00033967,             0.00033967
                    156,                0.96929,                0.44266,                 1.1537,                0.90614,                0.87972,                0.94803,                 0.6524,                 1.1641,                0.50284,                 1.4218,              0.0003326,              0.0003326,              0.0003326
                    157,                0.97648,                0.44171,                 1.1469,                0.90463,                 0.8798,                 0.9472,                0.64903,                  1.175,                0.50583,                 1.4344,             0.00032553,             0.00032553,             0.00032553
                    158,                  0.974,                0.44374,                 1.1589,                0.91107,                0.87376,                 0.9474,                0.65242,                 1.1648,                0.49914,                 1.4248,             0.00031845,             0.00031845,             0.00031845
                    159,                0.96437,                0.43852,                 1.1509,                0.90877,                0.86994,                0.94455,                0.65003,                   1.17,                0.50863,                 1.4349,             0.00031138,             0.00031138,             0.00031138
                    160,                0.96355,                0.43556,                 1.1526,                 0.9121,                0.87859,                0.94838,                0.65357,                 1.1704,                0.49933,                 1.4303,             0.00030431,             0.00030431,             0.00030431
                    161,                0.95963,                0.43779,                 1.1431,                0.90472,                0.87793,                0.94589,                0.64962,                 1.1728,                0.50437,                 1.4307,             0.00029723,             0.00029723,             0.00029723
                    162,                0.95344,                0.43244,                 1.1469,                0.90272,                0.88256,                0.94696,                 0.6517,                 1.1699,                0.50446,                 1.4329,             0.00029016,             0.00029016,             0.00029016
                    163,                0.95704,                0.43511,                 1.1453,                0.90592,                0.87847,                0.94745,                0.65174,                 1.1683,                0.50446,                 1.4323,             0.00028308,             0.00028308,             0.00028308
                    164,                 0.9541,                0.43445,                 1.1391,                0.90968,                0.87683,                0.94687,                0.65058,                 1.1726,                0.50119,                 1.4345,             0.00027601,             0.00027601,             0.00027601
                    165,                0.95263,                0.43534,                 1.1484,                0.90466,                0.87939,                0.94477,                0.64824,                 1.1759,                 0.5065,                 1.4409,             0.00026894,             0.00026894,             0.00026894
                    166,                0.95119,                0.43279,                 1.1341,                0.90034,                0.88056,                 0.9463,                0.64865,                 1.1768,                0.50883,                 1.4384,             0.00026186,             0.00026186,             0.00026186
                    167,                0.94766,                  0.433,                 1.1319,                0.90395,                0.88031,                0.94574,                0.64873,                 1.1746,                0.50385,                 1.4405,             0.00025479,             0.00025479,             0.00025479
                    168,                0.94421,                0.43223,                 1.1467,                0.90237,                0.88031,                0.94411,                0.64687,                 1.1795,                0.50464,                 1.4461,             0.00024772,             0.00024772,             0.00024772
                    169,                0.94423,                0.42939,                 1.1398,                0.90297,                 0.8775,                0.94183,                0.64479,                 1.1806,                0.51133,                 1.4523,             0.00024064,             0.00024064,             0.00024064
                    170,                0.94135,                 0.4272,                 1.1354,                0.90724,                0.88419,                0.94743,                0.65222,                 1.1739,                0.50199,                 1.4381,             0.00023357,             0.00023357,             0.00023357
                    171,                0.94306,                0.42763,                   1.13,                0.90675,                0.87715,                0.94685,                0.64957,                 1.1767,                0.50618,                 1.4438,              0.0002265,              0.0002265,              0.0002265
                    172,                0.93565,                0.42772,                  1.136,                0.90952,                0.87755,                0.94591,                0.64958,                 1.1759,                0.50679,                 1.4467,             0.00021942,             0.00021942,             0.00021942
                    173,                0.93981,                0.42443,                 1.1253,                0.90792,                0.87755,                0.94613,                0.65069,                 1.1776,                0.50274,                 1.4433,             0.00021235,             0.00021235,             0.00021235
                    174,                  0.941,                0.42816,                  1.122,                0.90628,                0.88215,                0.94594,                0.64879,                 1.1774,                0.50209,                  1.444,             0.00020528,             0.00020528,             0.00020528
                    175,                0.93647,                0.42401,                 1.1319,                0.90036,                0.88318,                0.94466,                0.64752,                 1.1806,                0.50919,                 1.4511,              0.0001982,              0.0001982,              0.0001982
                    176,                0.93633,                 0.4267,                 1.1266,                0.90964,                0.87406,                0.94358,                0.64732,                 1.1793,                0.50858,                 1.4474,             0.00019113,             0.00019113,             0.00019113
                    177,                0.92747,                0.41761,                 1.1176,                0.90418,                0.88031,                 0.9452,                0.64844,                 1.1794,                0.50665,                 1.4461,             0.00018406,             0.00018406,             0.00018406
                    178,                0.93271,                0.42247,                 1.1265,                0.90102,                0.88258,                0.94589,                 0.6481,                 1.1763,                0.50496,                 1.4428,             0.00017698,             0.00017698,             0.00017698
                    179,                0.92494,                0.41987,                 1.1254,                0.90703,                0.87673,                0.94528,                0.64967,                 1.1754,                0.50596,                 1.4477,             0.00016991,             0.00016991,             0.00016991
                    180,                0.91768,                0.41647,                 1.1225,                0.91064,                0.87161,                0.94423,                0.64991,                 1.1784,                0.50982,                 1.4528,             0.00016283,             0.00016283,             0.00016283
                    181,                0.92342,                0.41897,                 1.1171,                0.90887,                0.87308,                0.94445,                0.64785,                 1.1836,                0.51101,                 1.4547,             0.00015576,             0.00015576,             0.00015576
                    182,                0.92201,                0.41813,                 1.1116,                0.89669,                0.88666,                0.94529,                0.64888,                   1.18,                 0.5077,                 1.4515,             0.00014869,             0.00014869,             0.00014869
                    183,                0.91966,                0.41898,                 1.1221,                0.90102,                0.88263,                0.94564,                0.64856,                 1.1825,                0.50741,                 1.4547,             0.00014161,             0.00014161,             0.00014161
                    184,                0.91515,                0.41645,                 1.1235,                0.89669,                0.88267,                0.94292,                0.64596,                 1.1814,                 0.5099,                 1.4536,             0.00013454,             0.00013454,             0.00013454
                    185,                0.92341,                0.41731,                 1.1276,                0.90397,                0.87939,                 0.9453,                0.64843,                 1.1793,                0.50613,                 1.4522,             0.00012747,             0.00012747,             0.00012747
                    186,                  0.915,                0.41386,                 1.1143,                0.90422,                0.88052,                0.94688,                0.65116,                 1.1774,                0.50432,                 1.4517,             0.00012039,             0.00012039,             0.00012039
                    187,                0.91844,                0.41582,                  1.121,                0.90335,                0.87724,                 0.9453,                0.64761,                 1.1812,                0.50678,                 1.4544,             0.00011332,             0.00011332,             0.00011332
                    188,                0.91488,                0.41693,                 1.1191,                0.90355,                0.87867,                0.94511,                0.64791,                 1.1817,                0.50817,                 1.4572,             0.00010625,             0.00010625,             0.00010625
                    189,                0.92161,                0.41732,                 1.1229,                0.89875,                0.88161,                 0.9445,                0.64729,                 1.1852,                0.50775,                 1.4576,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    190,                0.92142,                0.41688,                 1.1233,                0.90045,                0.88144,                0.94513,                0.64831,                 1.1822,                0.50755,                  1.456,             9.2099e-05,             9.2099e-05,             9.2099e-05
                    191,                0.91302,                0.41306,                 1.1576,                0.89892,                0.88591,                0.94353,                0.64529,                 1.1823,                0.50763,                 1.4679,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    192,                0.89846,                0.40604,                 1.1571,                0.89532,                0.88297,                0.94331,                0.64403,                 1.1879,                 0.5107,                 1.4611,             7.7952e-05,             7.7952e-05,             7.7952e-05
                    193,                0.89389,                0.40312,                 1.1476,                0.89965,                0.88215,                0.94391,                0.64472,                  1.186,                0.50988,                 1.4662,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    194,                0.89001,                0.39966,                 1.1329,                 0.8983,                0.88082,                0.94365,                0.64458,                 1.1885,                0.51419,                 1.4671,             6.3805e-05,             6.3805e-05,             6.3805e-05
                    195,                0.89053,                0.40001,                 1.1369,                 0.9009,                0.88031,                0.94404,                0.64574,                 1.1867,                0.51112,                 1.4636,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    196,                0.88732,                0.39761,                 1.1433,                0.89115,                0.88771,                0.94426,                0.64671,                 1.1872,                0.51175,                 1.4638,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    197,                 0.8852,                0.39814,                 1.1355,                0.89444,                0.88482,                0.94448,                0.64656,                 1.1903,                0.51228,                 1.4681,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    198,                 0.8796,                0.39585,                 1.1357,                0.89228,                0.88615,                0.94411,                0.64653,                 1.1869,                0.51342,                 1.4667,             3.5511e-05,             3.5511e-05,             3.5511e-05
                    199,                0.88103,                0.39502,                 1.1342,                0.89468,                0.88338,                0.94381,                0.64537,                 1.1894,                0.51372,                  1.468,             2.8437e-05,             2.8437e-05,             2.8437e-05
                    200,                0.88317,                0.39561,                 1.1393,                0.89577,                0.88433,                0.94409,                0.64621,                 1.1885,                0.51327,                 1.4682,             2.1364e-05,             2.1364e-05,             2.1364e-05
